,S001,S005,S008,S009,S010,S011,S013,S018,S019,S021,S023,S024,S025,S026,S027,S028,S029,S033,S034,S037,S044,S046,S049,S064,S065,S066,S069,S070,S072,S081,S082,S083,S084,S086,S090,S094,S098,S100,S107
Solicola gregarius,0,30,20,5,54,30,15,15,15,20,15,34,10,15,25,15,10,10,15,20,10,20,10,5,10,10,15,15,5,15,15,20,30,25,10,25,64,25,15
Streptomyces tsukubensis,0,30,15,0,20,34,0,10,20,0,20,10,15,15,25,20,5,34,10,15,10,30,25,15,25,25,30,39,5,20,39,20,25,25,5,10,54,34,25
Euzebya pacifica,0,79,30,10,89,44,15,0,20,34,15,5,0,15,44,25,10,54,25,20,0,5,25,15,5,10,5,20,0,15,30,5,10,5,0,20,15,30,10
Actinoplanes teichomyceticus,0,25,10,10,54,34,49,10,30,39,25,10,0,10,44,34,15,20,30,15,0,5,25,0,10,10,25,20,5,15,15,10,15,15,5,25,15,39,10
Bacillus pseudomycoides,0,15,15,49,0,5,49,39,20,10,0,25,20,10,10,20,0,0,10,15,10,39,10,44,34,20,15,20,34,10,15,25,15,25,25,49,39,15,0
Ilumatobacter coccineus,0,25,34,5,34,34,15,49,25,5,15,10,25,5,39,25,34,44,25,10,10,5,25,5,5,10,5,20,10,5,20,15,15,15,10,5,44,10,15
Mycolicibacterium neoaurum,0,34,84,0,34,5,15,34,5,5,10,5,0,5,10,25,10,25,10,20,0,5,15,5,5,15,20,44,10,10,15,0,20,10,5,15,10,25,15
Friedmanniella luteola,0,54,25,5,34,54,15,49,20,39,0,15,0,15,64,15,34,20,25,10,10,10,10,15,5,15,10,15,10,15,15,5,15,20,5,0,39,20,10
Nocardioides campestrisoli,0,25,10,15,0,30,0,10,10,39,15,148,54,54,20,39,34,25,15,5,0,10,10,5,5,5,15,10,0,10,15,5,15,5,20,15,15,25,15
Rhodovastum atsumiense,0,15,20,5,20,15,0,25,34,15,10,0,0,10,10,5,5,0,0,5,25,0,34,5,25,10,20,64,49,25,49,30,34,30,5,5,5,20,59
Lysobacter capsici,0,10,15,10,34,20,0,10,10,5,30,5,54,20,10,15,15,10,30,5,0,10,5,0,5,20,15,15,15,20,20,15,5,10,158,0,15,15,10
Lysobacter lycopersici,25,5,10,20,0,10,0,0,10,10,84,0,192,20,10,20,10,10,10,5,0,0,0,0,5,5,5,5,0,5,5,10,5,0,158,0,0,0,5
Lysobacter solisilvae,0,0,5,49,0,10,0,10,10,25,20,5,64,5,5,10,34,10,0,15,10,0,5,5,5,20,5,5,5,10,5,5,10,5,305,0,5,5,5
Plantactinospora sp. KBS50,0,20,15,15,54,39,34,34,10,34,10,10,5,10,20,30,0,25,15,15,10,10,20,10,15,10,25,25,20,15,15,15,15,15,5,15,34,49,15
Alloactinosynnema sp. L-07,0,49,10,5,54,39,15,15,20,30,10,10,15,5,30,34,0,54,0,25,0,5,25,10,10,15,20,25,5,15,15,20,15,25,0,15,30,25,10
Leptolyngbya sp. 7M,0,30,34,44,0,34,15,59,30,20,34,5,25,10,25,5,64,25,10,15,10,10,25,5,5,5,15,10,5,15,15,10,15,5,0,5,5,10,25
Streptomyces noursei,25,25,44,5,34,25,15,0,30,15,5,5,5,10,25,15,10,25,30,25,34,0,20,5,20,25,20,25,5,15,10,15,15,30,10,5,25,39,25
Microvirga sp. VF16,25,5,30,0,34,84,15,25,15,25,15,5,15,15,30,5,5,0,0,15,0,5,34,5,15,5,20,10,25,20,39,20,30,15,5,0,15,10,39
Nocardioides houyundeii,0,25,15,5,34,39,0,0,25,74,0,123,5,34,30,44,10,20,49,15,0,0,10,15,5,5,10,10,5,15,10,5,10,5,15,0,25,10,15
Bradyrhizobium zhanjiangense,25,5,30,0,0,0,15,10,5,0,20,10,5,44,15,0,0,10,25,10,44,0,25,5,25,10,15,10,34,20,5,15,25,34,10,5,10,15,69
Lysobacter soli,0,0,15,10,0,15,15,10,0,34,20,5,64,10,10,10,74,10,15,15,10,0,10,0,5,20,5,5,0,5,5,10,5,20,187,5,5,5,10
Caulobacter sp. S6,0,25,15,0,20,15,34,10,10,5,25,10,5,15,10,5,25,10,15,10,25,10,5,5,25,10,20,15,34,20,108,30,15,20,5,5,0,20,15
Mycolicibacterium madagascariense,0,10,64,5,34,5,0,10,10,10,0,10,10,10,10,20,0,34,0,15,25,10,20,5,10,15,15,34,20,5,5,10,10,10,0,5,20,25,5
Streptomyces sp. CdTB01,25,34,10,5,20,30,34,10,10,15,15,25,15,10,15,20,0,34,10,15,25,0,30,5,15,20,25,20,5,25,30,30,20,20,5,10,10,30,20
Rhodopseudomonas boonkerdii,0,5,30,0,20,5,15,34,25,0,34,0,20,15,5,10,0,0,0,25,44,5,10,5,20,15,20,10,34,25,30,39,30,10,0,0,0,10,34
Mycolicibacterium hassiacum,0,25,94,5,20,20,0,0,10,10,20,5,0,5,15,20,15,34,10,5,0,10,20,10,0,5,20,25,10,5,15,5,10,15,5,20,10,20,10
Mycobacterium avium,0,39,64,5,0,25,0,34,10,15,5,15,20,10,5,15,0,25,15,5,0,5,15,5,15,15,15,69,5,10,34,15,5,20,0,25,10,30,10
Micromonospora viridifaciens,0,25,10,10,54,15,15,25,10,39,25,5,5,10,49,15,5,64,10,15,10,20,20,5,10,20,25,20,15,10,10,15,20,34,0,10,20,30,20
Actinocatenispora sera,25,54,0,5,20,15,15,0,10,20,15,10,5,15,39,10,15,25,30,25,0,10,39,5,10,15,20,30,10,10,20,15,30,10,10,15,30,54,15
Streptomyces peucetius,0,44,25,5,34,30,0,0,10,10,20,15,5,5,25,15,25,25,0,10,10,0,25,5,15,20,30,44,10,10,15,20,34,20,0,20,54,44,25
Microlunatus sagamiharensis,0,34,15,10,54,39,34,34,25,44,25,25,15,10,34,25,0,20,30,5,10,5,25,0,10,15,15,10,10,10,15,20,5,15,0,5,20,20,15
Streptomonospora litoralis,0,39,10,0,34,30,0,0,15,15,15,0,5,5,10,15,10,34,10,15,34,0,34,10,10,25,20,25,20,20,34,15,25,44,5,15,34,49,20
Mycolicibacterium phlei,0,15,89,5,20,25,15,25,0,10,5,0,5,10,25,15,0,20,15,5,10,0,20,5,0,15,10,39,15,10,20,5,10,0,0,5,10,30,20
Burkholderia cepacia,0,10,10,10,0,15,0,10,15,5,20,5,10,20,15,15,10,25,30,15,0,10,20,15,15,10,15,15,15,25,10,10,69,54,15,0,15,44,25
Sphingomonas sp. KRR8,0,5,5,10,0,34,15,0,15,74,30,44,39,25,10,30,39,0,49,10,0,0,0,0,25,5,5,0,10,10,15,0,5,5,118,0,0,5,10
Methylorubrum extorquens,0,25,30,5,0,10,15,49,44,30,25,0,25,20,15,10,30,20,10,20,0,20,15,5,10,15,15,20,5,10,25,15,25,10,0,10,10,10,15
Dactylosporangium roseum,0,25,15,0,54,25,49,15,25,10,10,5,0,10,44,20,0,34,10,15,10,20,59,15,5,25,25,25,5,5,10,5,10,10,5,20,10,30,25
Anaeromyxobacter sp. Fw109-5,0,20,10,5,0,49,0,25,34,0,10,5,25,20,20,30,39,20,30,25,0,34,25,30,15,20,10,10,0,10,30,15,25,5,5,10,10,20,44
Mycolicibacterium arabiense,0,20,54,5,54,20,0,15,10,39,15,15,10,10,15,25,0,0,15,15,0,20,20,10,5,5,15,25,5,5,5,5,5,0,10,0,20,15,5
Massilia violaceinigra,0,5,5,5,0,10,0,25,25,0,0,0,10,369,20,10,25,0,10,10,10,5,5,10,10,5,15,5,0,10,15,15,15,0,15,5,15,5,5
Mycolicibacterium fluoranthenivorans,25,15,113,5,34,20,0,15,10,5,5,5,5,10,20,30,5,20,10,10,10,10,5,5,5,0,15,20,10,5,5,10,10,5,5,5,20,20,5
Frankia casuarinae,0,34,15,10,34,34,15,0,15,30,25,5,15,15,34,20,15,79,25,30,0,5,25,5,5,15,15,34,5,20,20,15,10,10,0,10,20,30,5
Methylocapsa sp. D3K7,0,5,25,5,0,15,0,34,34,5,59,0,0,30,5,5,5,0,0,10,10,5,25,5,15,15,15,25,5,15,15,15,39,15,0,0,5,15,30
Pseudonocardia abyssalis,25,30,10,10,34,34,49,10,25,34,5,0,5,5,39,20,44,44,25,10,10,10,20,10,10,10,5,10,0,15,20,5,10,15,0,10,20,39,10
Nitrospira sp. KM1,0,5,5,0,0,15,0,148,30,10,25,0,64,5,44,10,34,0,10,25,0,25,20,20,10,5,5,5,0,10,5,10,10,5,0,0,5,10,113
Bradyrhizobium amphicarpaeae,0,10,10,0,0,5,0,0,5,10,39,10,5,49,10,5,5,10,39,15,25,0,20,10,15,5,39,10,20,20,20,39,34,20,10,5,0,15,20
Streptomyces bathyalis,25,44,15,10,54,15,0,10,0,10,30,15,10,5,34,25,10,34,0,10,10,10,39,0,10,15,25,20,10,20,15,10,10,15,5,30,25,25,25
Chenggangzhangella methanolivorans,0,10,15,0,20,20,0,34,25,10,15,5,15,10,25,10,30,0,25,25,34,10,44,20,15,15,15,25,15,20,20,15,25,25,0,5,10,20,34
Micromonospora sp. WMMD812,44,44,15,0,20,20,0,15,10,44,0,5,5,5,54,10,25,64,0,15,25,5,25,5,5,25,20,25,5,15,15,15,5,10,0,15,0,44,34
Cellulomonas fimi,25,44,15,5,54,59,0,0,5,10,15,20,0,5,34,30,5,20,0,15,10,5,25,15,15,15,20,5,10,15,30,15,20,10,10,20,30,25,25
Amycolatopsis aidingensis,0,54,15,5,20,39,15,0,0,25,10,5,5,5,25,15,0,79,10,15,0,10,49,20,10,20,30,25,5,15,34,15,10,20,0,5,20,44,15
Streptomyces griseorubiginosus,0,30,30,5,0,44,34,15,30,0,15,20,0,10,30,20,0,34,39,0,25,20,25,20,10,20,30,25,10,10,20,10,5,15,5,20,25,15,10
Rubrivivax gelatinosus,0,34,10,5,20,15,0,59,15,10,25,5,5,20,25,15,98,20,10,15,10,20,34,10,10,15,5,10,5,15,20,10,15,25,20,5,5,15,10
Micromonospora sp. WMMC415,0,25,15,0,20,39,15,25,20,15,34,5,0,5,25,20,5,64,49,5,0,5,34,20,5,25,30,25,5,15,20,10,10,25,0,5,15,30,10
Actinoplanes derwentensis,25,44,10,5,69,25,0,0,10,34,10,20,5,5,30,20,5,44,25,34,0,10,25,20,15,10,15,20,10,15,5,5,10,10,0,5,20,20,25
Actinokineospora sp. UTMC 2448,25,25,10,0,0,10,15,0,15,25,5,10,0,10,25,15,5,69,15,30,34,5,10,15,15,15,20,25,5,25,39,10,25,15,0,25,30,49,15
Dokdonella koreensis,0,5,20,0,0,15,0,34,15,10,25,15,10,10,10,10,25,0,0,44,10,5,0,0,10,74,15,15,5,15,15,10,20,0,74,20,15,10,39
Micromonospora echinaurantiaca,0,39,5,0,54,30,15,15,10,25,20,5,15,10,20,15,5,64,10,15,0,0,30,5,10,15,25,20,15,10,20,10,10,10,0,10,49,34,15
Allokutzneria albata,25,34,5,5,20,30,0,25,10,10,10,5,20,10,39,15,10,79,15,15,0,5,30,5,15,20,15,34,5,15,15,15,10,20,5,5,25,34,5
Luteibacter rhizovicinus,0,10,0,0,0,5,0,25,0,0,0,0,0,389,5,0,0,10,0,5,0,0,10,5,10,5,5,5,10,5,5,20,15,0,10,5,0,10,15
Streptomyces hygroscopicus,0,25,30,10,20,15,15,15,5,5,15,10,10,15,20,20,10,34,25,15,0,25,25,15,15,34,20,30,5,20,15,15,15,30,0,20,10,20,10
Cupriavidus basilensis,0,0,5,5,0,15,0,49,59,0,25,5,0,10,25,15,25,10,0,15,0,10,15,20,25,15,20,20,25,20,15,20,34,15,5,10,10,30,25
Roseomonas fluvialis,0,0,5,5,0,15,0,39,10,10,0,5,20,15,15,5,49,0,39,15,25,0,25,5,15,15,20,39,20,20,34,20,15,30,5,5,0,10,15
Afipia carboxidovorans,0,5,10,10,0,5,0,15,10,0,30,0,15,15,5,5,15,10,15,20,10,10,30,5,25,20,15,15,25,15,30,34,20,15,5,0,5,25,59
Paraburkholderia graminis,0,0,10,0,0,5,15,10,10,0,0,0,15,5,10,5,5,0,15,0,10,5,5,5,30,15,5,5,5,10,15,10,20,5,5,5,0,10,20
Xanthobacter dioxanivorans,0,10,15,15,0,20,0,15,15,0,15,0,5,20,10,15,25,20,15,30,10,10,25,5,10,15,20,25,30,25,30,15,25,5,5,0,5,25,69
Streptomyces sp. WMMC500,0,30,15,5,54,39,0,0,0,25,10,15,10,0,20,15,15,20,25,15,10,34,20,15,15,20,25,34,5,5,15,10,10,10,0,20,49,30,25
Blastochloris viridis,0,10,34,5,0,15,0,10,15,5,20,0,15,15,5,10,10,0,10,15,25,5,39,15,15,15,15,10,25,20,30,30,30,10,5,15,10,15,59
Kaistia sp. 32K,44,5,15,0,0,15,0,15,34,15,25,5,10,5,5,15,10,10,10,15,25,0,25,5,15,10,15,10,20,15,39,30,30,10,0,5,10,20,39
Humisphaera borealis,0,20,34,5,20,25,0,39,44,34,25,0,20,5,15,5,30,0,0,15,10,5,25,5,10,5,94,10,15,5,20,5,10,0,0,10,15,15,25
Achromobacter xylosoxidans,0,5,10,20,20,10,0,0,20,5,15,5,5,10,10,10,25,10,15,20,34,5,5,5,20,34,10,25,0,20,30,15,49,25,5,25,20,25,15
Mycolicibacterium chubuense,0,15,133,0,0,10,15,25,10,10,20,5,5,10,10,15,10,0,15,15,10,10,0,5,5,5,5,25,10,5,10,5,5,10,0,10,15,20,10
Jatrophihabitans sp. GAS493,0,10,25,5,20,10,34,10,34,20,44,5,5,15,20,25,0,10,10,30,0,5,54,20,10,20,30,25,5,20,30,15,25,10,0,5,10,39,15
Mycolicibacterium psychrotolerans,0,15,118,0,0,15,0,39,20,20,10,5,5,10,10,15,0,0,10,10,0,0,10,5,5,15,15,25,10,10,15,0,10,0,5,0,10,15,20
Edaphobacter sp. 4G125,0,0,0,0,0,0,0,10,25,0,10,0,5,15,5,5,5,0,0,49,34,5,10,5,44,20,25,15,20,54,54,34,44,5,0,5,0,20,20
Paraburkholderia caledonica,0,0,5,0,0,15,0,25,5,0,5,0,0,0,5,10,5,0,0,15,10,0,10,5,20,10,10,0,25,15,10,10,10,15,15,5,0,5,15
Kribbella sp. CA-293567,0,25,25,0,20,30,0,10,0,44,15,20,5,15,54,39,25,10,15,5,10,5,34,5,10,20,15,20,5,5,15,10,15,0,5,20,34,44,5
Streptomyces clavuligerus,0,25,20,10,20,34,34,15,10,20,15,5,34,10,30,20,10,34,15,10,10,5,20,5,15,25,20,10,5,15,25,25,5,25,0,10,25,25,5
Caulobacter vibrioides,0,5,5,15,20,10,34,15,30,34,25,5,15,15,15,10,15,10,25,20,0,20,15,10,30,15,15,20,10,10,30,20,15,10,5,20,5,10,15
Peterkaempfera bronchialis,0,25,20,5,34,30,34,15,15,10,0,0,0,10,20,15,0,44,25,25,25,10,15,10,15,34,15,39,15,15,15,15,15,10,5,20,10,25,20
Streptomyces formicae,0,69,15,10,69,44,15,0,10,5,15,5,10,5,30,10,5,25,10,20,10,5,10,5,15,30,20,25,5,5,15,10,20,10,0,15,25,39,10
Nitrosomonas europaea,0,0,0,0,0,0,0,10,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,586,34,0,0,0,0,0,5,5,0,5,0,0,5
Kitasatospora sp. HUAS 3-15,0,25,10,5,54,15,15,0,25,5,5,15,5,20,25,15,0,44,0,10,10,0,30,5,20,79,20,25,5,5,20,5,15,20,5,15,20,44,15
Streptomyces longhuiensis,0,44,15,5,34,15,15,10,25,25,5,5,5,5,25,20,10,10,39,10,69,20,25,5,20,15,20,25,5,10,15,10,15,5,0,0,30,10,25
Blastochloris tepida,0,0,0,0,0,20,15,10,15,15,25,0,15,10,10,15,10,34,10,15,10,0,30,5,15,5,20,15,15,34,30,34,20,25,5,0,5,30,69
Bosea sp. F3-2,0,5,25,5,20,5,0,64,15,15,15,0,10,5,25,15,39,10,10,34,0,10,34,5,5,5,15,20,10,5,30,15,20,10,5,0,0,20,54
Nocardioides sp. dk884,25,10,0,0,20,39,15,0,5,98,0,148,10,30,25,25,5,10,15,15,0,0,25,5,5,5,15,10,0,10,10,5,10,10,5,10,10,15,5
Nocardioides piscis,0,20,5,10,0,39,0,10,10,44,25,138,20,39,39,34,5,20,10,5,0,30,15,10,0,5,5,5,5,15,5,5,5,10,10,15,0,10,20
Sphingosinicella microcystinivorans,0,5,10,0,20,15,34,39,34,10,10,5,20,15,20,10,30,0,10,20,10,5,10,10,30,10,15,20,10,20,20,20,34,5,20,0,5,5,25
Bradyrhizobium sp.,0,0,10,10,0,0,0,10,10,15,10,0,5,54,10,5,5,0,15,15,44,0,20,5,10,10,15,10,10,15,34,39,64,0,5,0,5,5,34
Methylobacterium aquaticum,0,25,30,15,0,39,15,10,30,15,15,0,20,5,15,5,5,20,10,25,0,5,30,5,15,15,5,15,20,15,20,25,15,25,0,5,15,25,44
Pseudonocardia sp. HH130630-07,25,34,15,0,20,39,34,0,15,25,20,10,25,10,15,25,0,25,15,10,0,10,25,5,5,15,15,30,10,15,25,15,15,15,5,5,25,25,5
Streptomyces niveus,0,25,10,5,54,15,0,15,10,20,20,15,15,10,25,10,5,0,25,20,0,5,39,10,10,20,25,25,25,10,30,10,20,10,5,10,10,59,0
Opitutus terrae,0,5,20,5,0,20,0,59,54,5,49,5,0,15,5,10,5,10,30,20,10,5,20,5,15,15,5,0,10,10,30,0,34,0,0,20,10,10,30
Gemmatimonas groenlandica,0,0,30,30,0,15,15,25,39,15,20,15,15,10,15,15,15,10,10,59,10,25,0,10,10,10,10,10,0,10,15,5,25,0,5,15,20,25,25
Enterobacter cloacae,0,20,0,44,20,5,113,0,10,69,30,0,34,10,15,0,39,54,0,10,10,5,5,5,0,20,34,5,5,10,5,15,0,10,15,0,0,5,10
Enterococcus sp. DA9,25,20,20,34,34,5,15,10,10,10,15,15,10,5,10,5,30,10,15,5,25,25,15,34,15,15,10,10,20,15,5,10,10,15,20,39,30,5,10
Mycolicibacterium vaccae,0,15,74,0,20,15,15,39,5,20,5,5,15,10,25,15,0,20,10,5,25,10,0,10,15,10,10,15,10,5,15,5,15,5,0,0,15,15,20
Saccharomonospora marina,0,34,15,15,0,5,15,15,15,20,25,0,0,10,25,15,5,54,10,15,10,5,39,10,0,15,20,25,5,15,34,10,30,20,0,15,25,39,20
Nakamurella panacisegetis,25,34,20,10,34,30,34,10,15,30,0,5,5,10,15,15,10,10,25,15,25,5,25,5,15,10,10,25,5,15,15,15,10,20,0,10,15,39,5
Micromonospora echinospora,25,39,10,20,54,10,64,0,10,5,5,0,5,0,15,10,10,54,15,25,10,25,15,5,10,20,10,15,5,15,15,15,5,10,0,20,20,25,10
Phreatobacter cathodiphilus,0,10,30,10,0,20,0,15,10,20,15,0,15,10,20,15,25,34,10,20,0,5,20,5,15,10,15,15,20,15,30,20,20,5,0,5,15,5,49
Nocardiopsis exhalans,0,44,10,5,0,25,0,0,10,25,25,0,5,10,25,20,5,54,0,10,34,0,15,15,10,20,34,20,5,15,20,15,15,30,0,10,20,44,5
Streptomyces albus,0,30,5,5,34,15,34,15,10,20,5,10,5,10,25,25,10,34,15,0,10,20,25,10,10,15,25,25,5,15,15,5,15,5,10,5,34,25,15
Phycicoccus sp. HDW14,25,34,5,5,34,25,0,0,34,15,5,69,10,10,25,25,5,44,30,5,0,10,25,15,10,5,15,10,5,10,15,0,5,15,5,5,20,25,10
Saccharopolyspora rosea,0,49,5,10,34,5,15,10,10,5,5,5,10,10,39,15,10,34,15,15,0,10,44,10,10,30,20,20,5,15,34,0,15,5,0,0,15,39,10
Auraticoccus monumenti,25,44,0,20,54,20,34,10,10,10,10,15,15,5,34,20,0,44,25,15,25,5,5,10,5,10,5,20,10,10,10,5,5,5,0,5,10,30,25
Paraburkholderia sprentiae,0,5,5,0,0,5,0,15,20,0,0,0,5,10,10,5,10,0,0,0,0,0,0,5,15,5,0,15,15,15,10,30,25,44,0,10,5,0,10
Acinetobacter sp. MYb10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spiractinospora alimapuensis,0,25,10,0,20,25,34,10,0,10,20,5,0,5,15,10,0,0,10,15,25,10,20,10,5,25,30,15,10,15,39,20,25,30,0,25,0,54,25
Modestobacter sp. L9-4,25,44,5,10,20,39,15,10,10,30,10,5,10,10,34,20,10,20,15,15,10,10,15,5,5,10,25,15,5,5,20,5,10,44,10,10,15,20,5
Gemmata obscuriglobus,0,10,10,10,0,5,0,59,25,0,10,0,0,5,20,10,34,0,10,5,69,20,34,10,5,15,15,30,10,10,34,10,15,30,0,0,10,49,20
Paraburkholderia xenovorans,0,0,0,0,20,5,0,10,10,5,10,0,0,5,5,0,0,0,0,0,0,0,5,0,20,10,5,5,10,10,15,5,5,10,5,5,0,5,0
Streptomyces sp. HUAS 2-6,25,25,5,10,34,25,0,0,10,25,15,5,0,10,15,10,5,64,10,20,10,10,30,5,10,15,10,34,10,15,10,10,15,5,0,30,10,39,5
Azospirillum brasilense,0,15,10,0,20,15,0,10,25,5,20,5,0,10,15,10,25,25,10,25,25,0,25,5,20,15,15,25,20,20,15,30,30,15,0,5,10,15,34
Starkeya novella,0,5,25,15,0,15,0,25,15,5,25,5,10,5,20,0,30,34,15,15,10,5,25,5,10,10,20,5,15,20,30,25,20,10,10,5,20,25,25
Mycobacterium sp. IDR2000157661,0,15,113,5,0,15,0,15,10,20,5,0,5,5,10,5,10,10,0,5,0,0,5,0,5,15,10,39,25,0,5,0,5,5,0,0,10,20,5
Streptomyces sp. NA02950,0,25,10,5,20,30,15,0,20,20,15,5,0,5,34,20,0,54,10,5,0,25,20,0,20,15,34,25,5,15,20,15,20,20,0,10,20,25,15
Streptomyces liangshanensis,0,39,20,0,69,34,0,10,10,20,20,10,5,10,20,20,0,10,10,15,0,0,15,10,10,15,15,20,10,10,20,15,15,25,10,10,20,39,20
Chitinimonas koreensis,0,25,10,0,34,5,0,49,25,5,5,5,0,5,34,20,44,34,0,20,10,5,5,10,15,15,15,10,10,5,30,5,15,0,20,5,20,25,15
Streptomyces spectabilis,0,25,10,0,34,49,0,15,10,5,5,5,5,10,39,20,5,34,15,5,25,10,20,5,20,20,20,30,10,10,25,15,10,10,0,15,20,15,15
Sinorhizobium meliloti,25,10,10,0,20,20,15,25,20,0,20,0,10,5,25,15,30,0,25,25,10,10,10,5,15,15,15,15,15,15,15,20,25,20,5,10,20,25,25
Mycobacterium heckeshornense,0,10,94,15,0,10,0,74,10,0,10,5,15,10,10,10,25,20,0,10,0,5,15,0,5,10,5,39,5,5,10,5,10,30,0,15,10,15,5
Lysobacter sp. TY2-98,0,0,10,10,0,0,0,25,15,15,44,5,98,20,20,10,10,0,15,15,0,0,0,0,10,10,10,0,15,5,5,0,10,5,187,0,5,5,15
Paraburkholderia phenoliruptrix,0,0,10,5,0,5,0,15,10,0,5,0,0,10,5,5,10,10,25,15,10,5,5,0,25,15,5,5,10,5,5,15,15,5,0,5,0,5,5
Mumia sp. ZJ1417,0,30,10,5,34,54,15,25,10,20,10,25,10,5,25,15,15,20,25,10,10,0,20,10,10,15,10,20,5,10,15,5,10,15,5,5,44,25,0
Microlunatus soli,25,25,15,5,20,15,34,0,10,5,25,10,5,15,25,20,5,20,10,20,10,10,5,15,5,20,15,20,10,15,15,10,20,0,5,34,44,20,10
Bosea sp. Tri-49,0,20,25,0,0,25,0,15,34,15,25,5,5,15,15,10,10,10,15,10,10,5,5,20,30,15,20,15,34,10,15,34,10,0,5,5,0,15,49
Rhodanobacter denitrificans,0,5,5,0,0,5,15,15,10,0,20,5,10,15,5,39,10,0,10,15,10,5,10,0,25,39,15,10,5,5,15,25,20,5,30,10,5,10,5
Micromonospora purpureochromogenes,0,39,15,10,54,30,15,0,20,34,25,5,10,5,30,15,10,34,10,5,0,0,25,15,5,15,15,15,5,5,25,10,5,10,0,10,20,30,15
Streptomyces sp. SCUT-3,0,34,10,5,54,25,0,0,10,49,5,5,5,10,15,10,5,0,25,5,0,10,30,5,15,25,39,25,10,20,20,5,25,5,0,10,34,39,0
Paraburkholderia sp. SUR17,0,5,5,0,0,5,0,0,10,0,5,0,5,0,5,10,5,10,15,30,0,0,25,5,15,5,0,10,15,20,5,30,25,34,15,10,10,5,15
Paraburkholderia edwinii,0,0,10,0,0,15,0,0,10,0,5,0,5,0,15,5,10,10,15,20,10,0,5,5,20,15,10,10,20,15,15,15,30,10,0,0,5,5,20
Streptomyces chartreusis,0,15,5,5,0,30,34,15,25,25,15,5,5,5,25,15,15,25,25,30,0,0,20,0,10,30,15,25,20,10,30,10,10,10,0,10,30,30,15
Streptomyces sp. HUAS 15-9,0,30,10,15,0,15,0,10,10,10,20,15,15,10,20,15,5,34,10,20,10,5,30,5,15,20,20,20,5,15,30,5,15,5,0,25,30,44,15
Paraburkholderia atlantica,0,10,5,5,0,15,0,0,25,0,15,0,0,15,5,10,5,10,0,5,0,0,5,5,30,5,5,10,10,10,10,10,15,20,5,0,20,5,15
Paraburkholderia sp. PGU16,0,5,5,0,0,10,15,0,5,5,5,0,10,20,5,5,0,10,10,25,10,0,10,0,15,5,25,5,20,15,20,10,25,5,0,0,0,5,15
Paraburkholderia sp. SOS3,0,0,0,5,0,5,0,0,30,0,10,0,0,5,10,10,5,20,0,5,25,0,10,5,20,0,10,10,10,20,15,15,15,15,0,20,10,10,25
Cellulosimicrobium cellulans,0,20,10,5,20,30,15,10,30,25,15,5,20,10,30,20,5,0,30,5,10,25,25,20,15,10,10,15,5,15,5,5,15,15,10,0,44,20,10
Solwaraspora sp. WMMD791,0,44,5,5,89,39,0,0,10,15,10,5,0,5,15,15,10,25,15,0,0,10,39,15,10,25,15,20,5,5,15,10,10,15,10,10,30,25,5
Nocardioides ochotonae,0,15,10,0,20,30,15,10,10,44,20,123,5,30,10,39,10,10,15,5,0,0,20,20,5,5,5,5,5,5,10,5,10,0,15,5,20,15,10
Phycicoccus endophyticus,0,25,20,5,0,25,15,10,10,25,0,59,10,10,20,20,15,34,49,10,10,10,15,10,10,5,15,5,10,5,15,10,5,10,10,5,25,20,15
Micromonospora krabiensis,25,25,10,5,54,30,0,0,10,20,10,10,10,10,49,10,5,54,0,5,10,5,34,10,5,10,15,15,5,5,10,15,15,10,5,10,25,20,5
Streptomyces liliifuscus,25,44,10,0,20,30,15,10,10,15,5,10,5,15,39,25,5,25,0,10,10,20,25,5,10,10,10,20,20,5,10,5,15,5,0,20,30,25,10
Phenylobacterium sp. LH3H17,0,5,10,0,34,10,0,25,15,15,15,0,5,30,10,10,25,0,10,10,10,5,5,5,10,5,15,10,0,20,69,15,10,5,5,10,5,15,5
Planctomyces sp. SH-PL62,0,10,20,0,0,5,15,15,0,5,5,5,10,15,25,15,0,20,10,25,25,5,20,10,15,20,5,34,20,20,20,10,34,30,5,10,15,25,30
Georgenia sp. TF02-10,0,39,10,0,34,49,34,15,10,34,5,15,15,10,20,15,5,64,15,10,0,5,20,10,15,5,10,20,5,5,20,5,5,5,5,0,20,15,5
Mycobacterium cookii,0,5,44,0,0,5,0,10,5,20,10,10,10,10,5,5,5,20,10,10,25,10,10,0,0,5,5,94,5,0,5,0,20,10,0,20,10,20,20
Amycolatopsis albispora,0,39,10,5,54,10,15,10,30,10,20,10,0,5,15,10,10,10,0,20,0,20,30,5,15,20,20,25,0,20,10,10,20,10,0,15,15,34,15
Amycolatopsis thermalba,0,20,20,5,20,15,0,0,10,20,15,10,5,10,20,15,10,25,0,25,0,25,44,5,10,15,20,30,15,20,30,15,10,10,0,20,15,30,20
Pseudomonas aeruginosa,25,15,15,5,0,15,0,10,15,5,15,10,10,5,25,10,15,10,10,15,0,10,20,20,25,25,20,25,5,15,15,20,20,20,20,10,10,30,15
